iso_code,continent,location,population,population_density,date,reproduction_rate,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions
AFG,Asia,Afghanistan,39835428,54.422,5/8/2020,1.57,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/9/2020,1.57,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/10/2020,1.56,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/11/2020,1.54,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/12/2020,1.52,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/13/2020,1.5,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/14/2020,1.49,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/15/2020,1.47,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/16/2020,1.46,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/17/2020,1.44,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/18/2020,1.42,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/19/2020,1.41,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/20/2020,1.39,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/21/2020,1.38,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/22/2020,1.36,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/23/2020,1.35,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/24/2020,1.33,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/25/2020,1.31,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/26/2020,1.29,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/27/2020,1.27,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/28/2020,1.26,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/29/2020,1.24,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/30/2020,1.22,,,,
AFG,Asia,Afghanistan,39835428,54.422,5/31/2020,1.21,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/1/2020,1.19,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/2/2020,1.18,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/3/2020,1.16,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/4/2020,1.14,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/5/2020,1.13,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/6/2020,1.11,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/7/2020,1.09,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/8/2020,1.08,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/9/2020,1.06,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/10/2020,1.05,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/11/2020,1.03,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/12/2020,1.02,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/13/2020,1,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/14/2020,0.99,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/15/2020,0.98,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/16/2020,0.96,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/17/2020,0.95,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/18/2020,0.93,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/19/2020,0.92,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/20/2020,0.9,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/21/2020,0.89,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/22/2020,0.88,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/23/2020,0.87,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/24/2020,0.85,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/25/2020,0.85,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/26/2020,0.84,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/27/2020,0.84,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/28/2020,0.83,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/29/2020,0.83,,,,
AFG,Asia,Afghanistan,39835428,54.422,6/30/2020,0.82,,,,
AFG,Asia,Afghanistan,39835428,54.422,7/1/2020,0.82,,,,
AFG,Asia,Afghanistan,39835428,54.422,7/2/2020,0.81,,,,
AFG,Asia,Afghanistan,39835428,54.422,7/3/2020,0.81,,,,
AFG,Asia,Afghanistan,39835428,54.422,7/4/2020,0.81,,,,
AFG,Asia,Afghanistan,39835428,54.422,7/5/2020,0.81,,,,
AFG,Asia,Afghanistan,39835428,54.422,7/6/2020,0.8,,,,
AFG,Asia,Afghanistan,39835428,54.422,7/7/2020,0.8,,,,
AFG,Asia,Afghanistan,39835428,54.422,7/8/2020,0.79,,,,
AFG,Asia,Afghanistan,39835428,54.422,7/9/2020,0.79,,,,
AFG,Asia,Afghanistan,39835428,54.422,7/10/2020,0.79,,,,
AFG,Asia,Afghanistan,39835428,54.422,7/11/2020,0.78,,,,
AFG,Asia,Afghanistan,39835428,54.422,7/12/2020,0.78,,,,
AFG,Asia,Afghanistan,39835428,54.422,7/13/2020,0.77,,,,
